1000.mp4,-0.0787,-0.0787,-0.0167,0.0366,0.0193,0.1196
1001.mp4,-0.0814,-0.0570,0.0161,0.0556,0.0492,0.1264
101.mp4,-0.0528,-0.0423,0.0282,0.0826,0.0559,0.1662
1013.mp4,-0.0603,-0.0471,0.0200,0.0792,0.0480,0.1511
1017.mp4,-0.1131,-0.0869,-0.0463,0.0277,-0.0040,0.0916
1021.mp4,-0.0704,-0.0632,-0.0115,0.0459,0.0223,0.1237
1024.mp4,-0.0640,-0.0532,0.0080,0.0606,0.0412,0.1380
1039.mp4,-0.0727,-0.0564,0.0038,0.0527,0.0364,0.1303
1041.mp4,-0.0829,-0.0660,-0.0194,0.0329,0.0224,0.1147
1046.mp4,-0.0907,-0.1174,-0.0266,0.0140,0.0007,0.0976
1050.mp4,-0.0455,-0.0428,0.0126,0.0684,0.0253,0.1493
1056.mp4,-0.0716,-0.0592,0.0007,0.0522,0.0183,0.1268
1067.mp4,-0.0565,-0.0505,0.0103,0.0638,0.0344,0.1355
107.mp4,-0.0866,-0.0838,-0.0202,0.0471,0.0186,0.1142
1073.mp4,-0.0898,-0.0572,0.0080,0.0562,0.0218,0.1221
1083.mp4,-0.0800,-0.0693,-0.0221,0.0428,0.0203,0.1125
1089.mp4,-0.0923,-0.0813,-0.0253,0.0252,0.0244,0.1053
1091.mp4,-0.0502,-0.0459,0.0202,0.0712,0.0545,0.1540
1101.mp4,-0.0837,-0.0855,-0.0323,0.0218,0.0200,0.1056
1106.mp4,-0.0500,-0.0465,0.0082,0.0771,0.0570,0.1450
1125.mp4,-0.0680,-0.0617,-0.0103,0.0348,0.0226,0.1292
1140.mp4,-0.0833,-0.1011,-0.0143,0.0384,0.0194,0.1123
1141.mp4,-0.0640,-0.0595,0.0007,0.0529,0.0162,0.1305
1142.mp4,-0.0792,-0.0722,-0.0074,0.0482,0.0106,0.1145
1148.mp4,-0.0530,-0.0520,0.0201,0.0747,0.0454,0.1444
